name,age,profession
Nick Lachey,48,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,41,"Television personality, host, actress, model"
Deepti Vempati,31,Information Data Analyst
Mallory Zapata,32,Communications Manager
Salvador Pérez,31,Executive Assistant
Shayne Jansen,32,Real Estate Agent
Abhishek Chatterjee,33,Veterinarian / House DJ
Kyle Abrams,29,Glazier
Shaina Hurley,32,Freelance Hairstylist
Iyanna McNeely,27,Program Coordinator
Jarrette Jones,32,Project Manager
Danielle Ruhl,29,"Associate Director, Marketing"
Nick Thompson,36,VP of Product Marketing
Natalie Lee,29,Consulting Manager
