name,age,profession
Nick Lachey,52,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,45,"Television personality, host, actress, model"
Kelly Chase,33,Holistic Health and Empowerment Coach
Kenny Barnes,27,Sales professional
Carlton Morton,41,social media marketer
Diamond Jack,28,Former NBA Dancer
Mark Cuevas,24,Fitness Trainer
Lauren Speed Hamilton,38,Content Creator
Cameron Hamilton,28,Artificial Intelligence scientist
Amber Pike,27,Ex-Tank Mechanic
Matthew Barnett,27,Engineer
Giannina Gibelli,33,Business Owner
Damian Powers,35,Ex-General Manager
Jessica Batten,42,regional manager
Francesca Farago,32,Reality Star
