name,age,profession
Emma Willis,47,Television Presenter
Matt Willis,43,"musician, singer, songwriter, television personality and actor"
Kieran Holmes-Darby,28,Gaming Entrepreneur
Megan Jupp,28,Dance and Fitness Instructor
Ashleigh Berry,30,Cabin Crew Manager
Billy Jervis,35,Army Physical Trainer
Kal Pasha,31,Gym Owner
Sarover Aujla,29,Medical Company Owner
Javen Palmer,28,Health coach
Sophie Willett,28,Senior Commercial Manager
Patrick Justus,33,Human Design Coach
Aanu,29,Singer
Demola Ayilara,31,Financial Analyst
Bardha Krasniqi,32,Sales and Marketing Director
Jed Chouman,31,Configuration Manager
Katisha Atkinson,31,Nanny and Makeup Artist
Bobby Johnson,33,Luxury Shopping Guide
Jasmine Chamberlain,29,Mental Health Nurse
Nicole Stevens,48,"Singer, songwriter, dancer, actress, television personality"
Benaiah Grunewald Brydie,33,Structural Landscaper
