episode,title_en,title_original,phase,milestones
1,Episode 1,Episode 1,Pods,"Thirty UK singles enter the pods hosted by Emma and Matt Willis to build emotional connections."
2,Episode 2,Episode 2,Pods,"Connections intensify in the pods leading to deep conversations and early romantic proposals."
3,Episode 3,Episode 3,Pods,"Love triangles and tough choices emerge as participants decide who to commit to."
4,Episode 4,Episode 4,Pods,"Final pod proposals take place before the newly engaged couples meet face-to-face."
5,Episode 5,Episode 5,Honeymoon,"The engaged couples travel on a romantic getaway to test their physical chemistry and bond."
6,Episode 6,Episode 6,Honeymoon,"The couples complete their getaway retreat and prepare to return home to test real-world compatibility."
7,Episode 7,Episode 7,Moving in Together,"Couples move into shared apartments, navigate daily routines, and meet each other's families and friends."
8,Episode 8,Episode 8,Moving in Together,"Pressure mounts during wedding preparations and inner circle meetings, exposing lifestyle differences."
9,Episode 9,Episode 9,Weddings,"The couples go wedding dress and suit shopping, leading up to the final walk down the aisle."
10,Episode 10,Episode 10,Weddings,"The remaining couples stand at the altar to decide whether to say 'I do' or walk away forever."
11,Episode 11,Episode 11,Reunion,"Emma and Matt Willis host the cast as they reunite to discuss the experiment, post-show drama, and relationship statuses."
