episode,title_en,title_original,phase,milestones
1,Higher Love,"(same as title_en, this edition airs in English)",Pods,"The pods are now open! Singles try to make love connections through a wall, and a romantic revelation causes a stir in the women's quarters."
2,The Hunger Games of Love,"(same as title_en, this edition airs in English)",Pods,"A shocking event puts three participants in a difficult position. As one pair opens up about their childhoods, another takes their bond to the next level."
3,Operation Get My Girl Back,"(same as title_en, this edition airs in English)",Pods,"One excited couple meets face-to-face. A participant works through big emotions. A connection grows deeper between two singles who share similar beliefs."
4,The Hardest Decision of My Life,"(same as title_en, this edition airs in English)",Pods,"Tensions escalate when two participants fall in love with the same person — who must make a tough decision. Another single puts a ring on it."
5,She Lied to Me,"(same as title_en, this edition airs in English)",Honeymoon,"After seeing each other for the first time, the newly engaged couples head to the Dominican Republic and put their physical connections to the test."
6,Feeling Uncomfy,"(same as title_en, this edition airs in English)",Honeymoon,"Glowing from their first night in paradise, the participants reunite for a soiree on the beach until jokes and jealousy put a damper on the party."
7,Silence Speaks Volumes,"(same as title_en, this edition airs in English)",Honeymoon,"As their dreamy vacation comes to an end, the couples have heart-to-hearts before returning to Charlotte and entering a new phase in their relationships."
8,Clinging to Love,"(same as title_en, this edition airs in English)",Moving In Together,"Cohabitation brings sweet surprises and intense challenges for the couples, while romantic interests from the past create problems in the present."
9,Secret Rendezvous,"(same as title_en, this edition airs in English)",Moving In Together,"As the weddings loom, the couples strive to make a good first impression on their partners' families and friends. A shocking confession causes a stir."
10,What Could Have Been,"(same as title_en, this edition airs in English)",Moving In Together,"The pairs turn to their parents for relationship advice. Emotions run high when the couples reunite with some of their former prospects from the pods."
11,Roller Coaster of Love,"(same as title_en, this edition airs in English)",Wedding,"The reunion bash brings closure for some and opens doors for others. Things get real when the brides-to-be try on dresses and future grooms select suits."
12,Meet Me at the Altar,"(same as title_en, this edition airs in English)",Wedding,"Walk away or say ""I do""? Life-changing decisions await the remaining couples as the big day approaches and pre-wedding festivities kick off."
13,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"The reunion heats up as Nick and Vanessa Lachey revisit the drama from the pods to the present with this season's participants and special guests."
