episode,title_en,title_original,phase,milestones
1,Welcome to Love Is Blind!,"(same as title_en, this edition airs in English)",Pods,"Things move quickly as a new group makes intense connections in the pods. One couple trades three little words, and then four: ""Will you marry me?"""
2,Love Triangles and Love Triumphs,"(same as title_en, this edition airs in English)",Pods,"For one woman, the third shot at love might be the charm. Bartise and Nancy both feel torn between two different people. Two more couples get engaged."
3,The First Night Together,"(same as title_en, this edition airs in English)",Pods,"Nancy weighs two proposals and finds clarity. The second phase of the experiment begins as five engaged couples leave the pods and head to Malibu."
4,Meet Your Exes,"(same as title_en, this edition airs in English)",Honeymoon,"The couples settle into real-life time together in Malibu and finally meet each other at a cocktail night, where old feelings cause a few new bumps."
5,Trouble in Paradise,"(same as title_en, this edition airs in English)",Honeymoon,"Romantic dates and a pool party cement bonds for some couples but raise doubts for others. Cole is surprisingly honest, ruffling a few feathers."
6,Return to Reality,"(same as title_en, this edition airs in English)",Moving in Together,"Transitioning back into their everyday lives in Dallas, the couples navigate frank conversations around finances and meet each others' families."
7,Impress the Parents,"(same as title_en, this edition airs in English)",Moving in Together,"More meetings with family and friends lead to soul-searching. At a bar night, a particular conversation at the pool party makes waves all over again."
8,The Perfect Fit,"(same as title_en, this edition airs in English)",Wedding,"One couple works through setbacks and another pair resets while others get to know their partners' friends. The brides and grooms go shopping."
9,The Last Supper,"(same as title_en, this edition airs in English)",Wedding,"With a few days left before the weddings, the couples enjoy romantic final dates. Colleen expresses doubts. Can one couple resolve their conflicts?"
10,Approaching the Altar,"(same as title_en, this edition airs in English)",Wedding,"The ladies hit the strip club for their bachelorette party, while the guys get their hands dirty at the rodeo. Wedding day dawns for two couples."
11,The Wedding Day,"(same as title_en, this edition airs in English)",Wedding,"As more couples head to the altar, some finish the day heartbroken while others — despite their doubts — take the plunge and say, ""I do"""
12,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"This season's current and former couples sit down with Nick and Vanessa for an emotional conversation to clear the air and look back at their wild ride."
13,After the Altar: Soulmates and Blank Slates,"(same as title_en, this edition airs in English)",After the show,"While one married couple enjoys wedded bliss, another negotiates big questions. One-time exes reconnect. The women and men meet up separately to debrief."
14,After the Altar: The Party Is Just Getting Started,"(same as title_en, this edition airs in English)",After the show,"Preparing for Alexa's birthday bash, Nancy has an emotional conversation with her family and Zanab gets glam. Drama swirls around Cole at the party."
15,After the Altar: A Second Shot at Love?,"(same as title_en, this edition airs in English)",After the show,"Colleen and Matt navigate challenges as they look to the future. One man, hoping for a second chance at marriage, plans a grand gesture."
