episode,title_en,title_original,phase,milestones
1,I Have a Husband,"(same as title_en, this edition airs in English)",Pods,"It's chilly in Minneapolis, but the pods are heating up! A few singles make strong first impressions, while others are already caught in love triangles."
2,"Open Hearts, Open Minds, Can't Lose","(same as title_en, this edition airs in English)",Pods,"Potential couples learn how they're alike — and how they're not. As some participants juggle multiple suitors, one lovestruck pair makes it official."
3,Hunger Games of Love,"(same as title_en, this edition airs in English)",Pods,"Heartbreak hangs in the balance as some singles face a tough question: Who is their No. 1 choice? Later, things get awkward in the women's quarters."
4,So Your Girlfriend Has a Boyfriend,"(same as title_en, this edition airs in English)",Pods,"Dating in the pods gets serious: One couple talks politics, a flirty relationship fizzles out and a frustrated participant gives her suitor an ultimatum."
5,Breaking Up Is Hard to Do,"(same as title_en, this edition airs in English)",Pods,Will they or won't they? Romantic commitments are put to the test as several couples reach their make-or-break moment in the pods.
6,Do I Know You?,"(same as title_en, this edition airs in English)",Pods,"Relationships implode in the aftermath of a big regret. Following a life-changing decision, one participant makes a shocking discovery about her fiancé."
7,Bueller?,"(same as title_en, this edition airs in English)",Honeymoon,"After meeting in person, the freshly minted fiancés fly to Honduras to see whether their physical chemistry matches the bonds they forged in the pods."
8,A Family Affair,"(same as title_en, this edition airs in English)",Moving In Together,"Reality sets in as the couples return to Minneapolis to merge lives. As one duo gets real about money, a recent situationship sparks doubt in another."
9,The EX-Files,"(same as title_en, this edition airs in English)",Moving In Together,"First impressions are crucial when the couples seek blessings from their families. Later, skeptical friends and a viral video put two pairs on thin ice."
10,Oh Spare Me,"(same as title_en, this edition airs in English)",Moving In Together,"Pillow talk gets political as different worldviews collide just weeks before the altar. One couple's fixation with the past puts their future at risk."
11,Sliding Down Slopes and into DMs,"(same as title_en, this edition airs in English)",Wedding,"The full Pod Squad meets up to party, bringing new revelations and regrets to light. Anticipation grows when the gang tries on their wedding attire."
12,Brides' Last Ride,"(same as title_en, this edition airs in English)",Wedding,"The couples go on their last dates before the big day. A discussion about faith leaves one person worrying: Is love blind if your values aren't aligned?"
13,The Weddings,"(same as title_en, this edition airs in English)",Wedding,"As the couples meet at the altar, they each face the ultimate test of love: Will they say ""I do"" to marriage or call the whole thing off?"
14,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"Who's got receipts? The Season 8 crew gathers to share their relationship statuses, face their exes and answer burning questions about their love lives."
