name,age,profession
Nick Lachey,52,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,45,"Television personality, host, actress, model"
Taylor Krause,30,Clean Energy Policy Consultant
Garrett Josemans,33,Quantum Physicist
Ashley Adionser-Francis,32,Marketing Director
Tyler Francis,34,Account Manager
Marissa George,32,Lawyer
Ramses Prashad,35,Program Associate at Justice Reform Nonprofit
Hannah Jiles,27,Medical Device Sales
Nick Dorka,29,Real Estate Agent
Tim Godbee,33,Web Content Strategist
Brittany Wisniewski,33,Esthetician
Leo Braudy,31,Art Dealer
Alexandra Byrd,33,Producer
Monica Davis,37,Sales Executive
Stephen Richardson,34,Electrician
Bohdan Olinares,36,Tech Sales
