name,age,profession
Nick Lachey,52,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,45,"Television personality, host, actress, model"
Jessica Vestal,32,Executive Assistant and Comedian
Trevor Sova,31,Project Manager
Amy Cortés,28,E-Commerce Specialist
Johnny McIntyre,30,Account Executive
Amber Desiree Smith,35,Real Estate Broker
Clay Gravesande,31,Enterprise Sales and Entrepreneur
Chelsea Blackwell,33,flight attendant and event planner
Jimmy Presnell,28,Software Sales
Laura Dadisman,34,Account Director
Sarah Ann Bick,30,Customer Support Manager
Jeramey Lutinski,32,intralogistics professional
Brittany Mills,25,Senior Client Partner
Kenneth Gorham,24,Principal
Matthew Duliba,37,Senior Financial Advisor
