name,age,profession
Nick Lachey,52,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,45,"Television personality, host, actress, model"
Cole Barnett,31,real estate agent
Zanab Jaffrey,36,Flight Attendant/Realtor
Raven Ross,32,Pilates Instructor
Alexa Alfia,27,Insurance Agency Owner
Colleen Reed,30,Ballet Dancer/Digital PR Strategist
Bartise Bowden,31,senior analyst
Nancy Rodriguez,36,Speech Pathologist/Real Estate Investor
Matt Bolton,32,VP of Aerospace Manufacturing
Brennon Lemieux,36,reality television personality
Sikiru Alagbada,34,Data engineer
