name,age,profession
Nick Lachey,48,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,41,"Television personality, host, actress, model"
Izzy Zapata,31,Sales
Lydia Velez Gonzalez,32,Geologist
Stacy Snyder,34,Director of Operations for an oil and gas company
Carter Wall,30,Construction
Taylor Rue,26,Teacher
Jared Pierce,32,Firefighter
Uche Okoroha,34,Lawyer and Entrepreneur
Johnie Maraist,32,Lawyer
Christopher Fox,28,Project Manager for Commercial and Retail Development
Aaliyah Cosby,29,ICU Travel Nurse
James Milton Johnson IV,24,Petroleum Engineer
Renee Poche,32,Veterinarian
