name,age,profession
Nick Lachey,52,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,45,"Television personality, host, actress, model"
Kalybriah Haskin,29,Social Worker
Edmond Harvey,29,Realtor
Aline Lima,29,Nurse
Anton Yarosh,29,Transportation/Logistics
Megan Walerius,35,Entrepreneur
Jordan Keltner,30,Service manager
Madison Maidenberg,28,UX/UI designer
Joe Ferrucci,29,Sales
Kacie McIntosh,34,Hair and Makeup Artist
Patrick Suzuki,31,Construction manager
Mike Brockway,38,real estate investor
Anna Yuan,28,Hairstylist
Blake Anderson,34,Accountant
Kait Nemunaitis,33,Registered dietitian
Brenden Guthrie,32,Finance manager
Annie Lancaster,31,Hair salon owner
Nick Amato,28,Luxury watch dealer
