episode,title_en,title_original,phase,milestones
1,A Fresh Start on Love,Episódio 1,Pods,"Singles seek new beginnings and authentic connections in the first days of the experiment, navigating personal beliefs, insecurities and hot topics."
2,To Those Who Thought They'd Never Love Again,Episódio 2,Pods,"Tensions rise with a romantic mix-up, new emotional connections form and the first couples determine their fates."
3,Royal Honeymoon,Episódio 3,Pods,"Tarot readings and symbolic rings guide contestants as they choose partners for the honeymoon phase. But will it be magical for everyone?"
4,Love After Retreat,Episódio 4,Honeymoon,"Couples enjoy their first night together. They later mingle at a lively party, swapping impressions and stirring up juicy gossip."
5,Let's See What Happens,Episódio 5,Honeymoon,"While Leonardo and Vanessa consult tarot cards about their future, other couples face disagreements regarding their current situations."
6,Father of the Bride,Episódio 6,Moving In Together,"Couples meet each other's families, sparking deep conversations and forming new bonds. Meanwhile, a girls gathering suddenly turns tense."
7,No Bed of Roses,Episódio 7,Moving In Together,"Before a party, a major revelation about a participant leads to trust issues, culminating in one of the most dramatic breakups in the show's history."
8,Fit for a Fitting,Episódio 8,Wedding,"One pair's meeting with friends becomes strained. The remaining couples try on wedding clothes, revealing nerves and excitement about their future."
9,Let's Get Married!,Episódio 9,Wedding,"Days before the wedding, couples discuss the future and enjoy a party with all participants. One pair make their way to the altar."
10,Is Love Blind After All?,Episódio 10,Wedding,"The remaining couples head to the altar on their big day, each deciding their fate. Will they all say ""I do""?"
11,The Reunion,Episódio 11,Reunion,"In this reunion, participants open up about their current status, future plans and the experience of seeing themselves on camera."
