episode,title_en,title_original,phase,milestones
1,The Pods Are Open!,"(same as title_en, this edition airs in English)",Pods,"The Lacheys kick things off as the singles move into the pods, playfully connect and plan for the future. Meanwhile, a love triangle takes shape."
2,Love Triangles,"(same as title_en, this edition airs in English)",Pods,"A whirlwind proposal leads to a moment of truth, a pivotal ask comes with unclear intentions, and a body image conversation forges a strong connection."
3,Love in Paradise,"(same as title_en, this edition airs in English)",Pods,"After an unexpected admission, Shayne proposes — but to whom? Later, Mallory makes a heart-wrenching decision, and the engaged couples exit the pods."
4,Meet the Other Couples,"(same as title_en, this edition airs in English)",Honeymoon,"In Mexico, the couples continue taking steps toward the altar... and deal with some not-so-sexy symptoms. At cocktail hour, former flings reconnect."
5,Leaving Paradise,"(same as title_en, this edition airs in English)",Honeymoon,"Time winds down in Mexico, but not before a tense post-party discussion, a playful group beach day, and a series of intimate revelations."
6,Back to Reality,"(same as title_en, this edition airs in English)",Moving In Together,"The couples bid farewell to paradise, head back to reality, reconnect with family and reexamine a host of hot topics with fresh eyes."
7,A Family Affair,"(same as title_en, this edition airs in English)",Moving In Together,"Shaina's comments spark a conversation between Shayne and Natalie. Later, the couples connect with more sweet — and skeptical — friends and family."
8,Final Adjustments,"(same as title_en, this edition airs in English)",Wedding,"Mallory and Sal face fresh drama, Shake and Deeps dissect their chemistry, and later, special guests help the couples find wedding dresses and tuxes."
9,Bachelor & Bachelorette Parties,"(same as title_en, this edition airs in English)",Wedding,"Emotions run high as the first wedding takes place — but not before final date nights, intimate conversations and bachelor and bachelorette parties."
10,The Weddings,"(same as title_en, this edition airs in English)",Wedding,"Happily ever afters or heartbreaking goodbyes? The couples decide as the experiment comes to a close in the company of friends and family."
11,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"This season's singles and married couples gather round and get real with Nick and Vanessa, dissecting everything from I do's to I don'ts."
12,"After the Altar: Friends Who Adventure Together, Stay Together","(same as title_en, this edition airs in English)",After the show,"As one couple faces some challenges, others explore new romance. Danielle and Nick plan a group getaway for Natalie's 30th birthday."
13,After the Altar: It's My Party and I'll Gossip If I Want to,"(same as title_en, this edition airs in English)",After the show,"An over-the-top, '80s-themed party creates an uncomfortable situation for Mallory and Sal. Things heat up when Shaina arrives with big news."
14,After the Altar: The Future Looks Bright,"(same as title_en, this edition airs in English)",After the show,"Iyanna and Jarrette meet with family for advice, while Sal turns to his own. Kyle and Deepti decide if they're ready for the next step."
