episode,title_en,title_original,phase,milestones
1,Welcome to the Pods!,"(same as title_en, this edition airs in English)",Pods,"As single Seattleites begin a new round of voice-only dating, intersecting love triangles take shape that may lead to heartache down the line."
2,Birthday Wishes,"(same as title_en, this edition airs in English)",Pods,"In a situation where romantic rivals are also roommates, hard choices lead to some hard feelings. Two couples take the plunge and get engaged."
3,Is Love Really Blind?,"(same as title_en, this edition airs in English)",Pods,"More proposals lead to eye-opening and emotional first meetings. One man wrestles with a painful decision between two very different women."
4,Playing With Fire,"(same as title_en, this edition airs in English)",Honeymoon,"Five newly minted pairs of fiancés arrive at a luxurious resort in Mexico, where things go swimmingly for some while others struggle to stay afloat."
5,Paradise Lost,"(same as title_en, this edition airs in English)",Honeymoon,"An intense pool party conversation has a lasting ripple effect during the next day's dates. One couple's doubts lead to a drastic decision."
6,I Made A Mistake,"(same as title_en, this edition airs in English)",Moving in Together,"As the couples get settled back in Seattle, one suitor hopes his change of heart hasn't come too late. A confession causes tension between friends."
7,Second Time's the Charm?,"(same as title_en, this edition airs in English)",Moving in Together,"Family meetings stir up anxiety and excitement. Two couples negotiate their potential living situations, and a date leads to a life-changing question."
8,Pick Me,"(same as title_en, this edition airs in English)",Moving in Together,"As one couple commits to moving forward, another navigates heartbreaking realizations. An unexpected guest at a birthday event causes friction."
9,Romeo and Juliet Didn't Work Out,"(same as title_en, this edition airs in English)",Moving in Together,"Introductions to friends and family continue. With just a week until weddings, the soon-to-be spouses go shopping--but one person shockingly opts out."
10,"Thank You, Next","(same as title_en, this edition airs in English)",Wedding,"One woman's decision devastates her fiancé. After stripping down on a date, Kwame opens up about doubts. Tiffany feels the pressure of wedding planning."
11,You Are Overpriced,"(same as title_en, this edition airs in English)",Wedding,"The future brides and grooms work through pre-wedding jitters at separate parties. The first couple to make their final decisions arrives at the altar."
12,Eternal Bliss?,"(same as title_en, this edition airs in English)",Wedding,"The remaining couples weigh doubts and dreams as they decide whether to commit to their futures together — or walk away alone."
13,The Live Reunion,"(same as title_en, this edition airs in English)",Reunion,"In this reunion special, the Season 4 cast dishes on love, life and lessons learned after saying “I do” — or “don’t.”"
14,After the Altar: The One Year Anniversary,"(same as title_en, this edition airs in English)",After the Altar,"Three committed couples reunite in Seattle to celebrate a year of marriage. Elsewhere, Micah wrestles with mixed emotions as Paul tries to move forward."
15,After the Altar: Moving On and Moving In,"(same as title_en, this edition airs in English)",After the Altar,"Marshall introduces someone special to Tiffany and Brett. Chelsea and Kwame's families gather for a joyous occasion. Jackie and Josh make a big move."
16,After the Altar: Settling Scores,"(same as title_en, this edition airs in English)",After the Altar,"The contestants face off in a flag football game that offers chaos and catharsis, while a party prompts apologies — and incendiary new accusations."
