episode,title_en,title_original,phase,milestones
1,Pod of Love,Cabine do amor,Pods,"As the hopeful singles make their way through the dating pods, instant connections are made, fantasies are crushed, and rivalries quickly emerge."
2,"Yes, I Will!","Sim, eu aceito!",Pods,"After getting engaged, two couples finally face each other. Meanwhile, Thiago is determined to win Nanda's heart, and Lissio deals with a dilemma."
3,Sexy Honeymoon,Lua de Créu,Honeymoon,"Nanda, Lissio and Hudson make their picks and meet their better halves. The lovebirds land in paradise to enjoy a romantic — and eventful — getaway."
4,Better Together,Better Together,Moving In Together,"Expectations come to a boiling point as the first night approaches. The engaged couples gather at the resort for the first time since the dating pods."
5,Expectation vs. Reality,Expectativa vs Realidade,Moving In Together,"The couples put their relationships to a critical test as they go back to the real world. Rodrigo gets a surprise when he visits Dayanne's apartment."
6,Living Together,Morando juntos,Moving In Together,"Back in São Paulo, the twosomes move in together and check up on one another's progress at a barbecue. Tensions arise between Nanda and Thiago."
7,Where Do We Go From Here?,Novas Descobertas...E agora?,Moving In Together,"At a party with Hudson’s family, Carol receives a surprise visit. Lissio takes Luana to meet his friends. Dayanne is let down by Rodrigo."
8,The Wedding Approaches,Casamento à vista,Wedding,Ana introduces Shayan to her daughter. Klebber and Camila take the gang out to shop for wedding finery. The group throws a birthday party for Nanda.
9,Bachelor Party,Despedida de solteiro,Wedding,"The men and women celebrate their last moments of singlehood at bachelor and bachelorette parties. Two days later, the first weddings finally unfold."
10,Moment of Truth,A Hora da verdade,Wedding,It's time for the remaining couples to walk down the aisle. Can their whirlwind romances truly lead to happily ever afters?
