episode,title_en,title_original,phase,milestones
1,No More Situationships,"(same as title_en, this edition airs in English)",Pods,"The pods are officially open in Washington, DC! Some hopeful singles make instant connections, while others wrestle with feelings for multiple suitors."
2,"Perfect Husband, but...","(same as title_en, this edition airs in English)",Pods,"A conflicted participant faces the aftermath of a heartbreaking decision. One couple strengthens their connection; another aims to make things official."
3,Is It Too Late?,"(same as title_en, this edition airs in English)",Pods,"Two singles discover they're into the same woman, leading one to seek reassurance. A smitten couple meets in person as a situationship nears its deadline."
4,The Tables Have Turned,"(same as title_en, this edition airs in English)",Pods,"A determined single tries to avoid a breakup, setting off a chain reaction of drama. A love triangle ends when a participant decides who she truly wants."
5,What the Duck?,"(same as title_en, this edition airs in English)",Honeymoon,"After meeting face-to-face, the newly engaged couples travel to Cabo San Lucas to connect and chill. A poolside encounter leads to a heated clash."
6,6 Things I Hate About You,"(same as title_en, this edition airs in English)",Honeymoon,"As the couples deepen their bonds with adventure, relaxation and future planning, a detailed list of grievances strains one rocky relationship."
7,Truth Bombs,"(same as title_en, this edition airs in English)",Moving In Together,"A heart-to-heart about expectations turns sour for a disconnected duo. As the Cabo getaway ends, the group returns to DC for the ultimate reality check."
8,Dirty Laundry,"(same as title_en, this edition airs in English)",Moving In Together,"Cohabitation leads to tough conversations about cross-country moves, finances and living arrangements. A shocking discovery devastates a bride-to-be."
9,Is Love Enough?,"(same as title_en, this edition airs in English)",Moving In Together,"Concerns about rushing to the altar arise during meetings with loved ones. A hidden truth is revealed, shaking the foundation of a solid couple."
10,The Text from an Ex,"(same as title_en, this edition airs in English)",Moving In Together,"Poor communication puts two engagements at risk. A text from an old flame ignites drama right before a reunion bash with former podmates."
11,The Risk of Falling in Love,"(same as title_en, this edition airs in English)",Wedding,"With the weddings around the corner, trust issues and cold feet cause turmoil. After an emotional dress fitting, a couple takes their love to new heights."
12,Leap of Faith,"(same as title_en, this edition airs in English)",Wedding,"The remaining couples face major decisions as they prepare to walk down the aisle. Will they commit to a future together — or call it quits at the altar?"
13,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"This season's participants sit down with Nick and Vanessa to reflect on their whirlwind experiences and answer the burning questions on everyone's minds."
