name,age,profession
Jessica Almenäs,50,Swedish TV presenter and reporter
Affe,39,Finance Manager
Agnes,31,Elementary School Teacher
Amelia,33,Psychiatric Nurse
Angelica,30,Mortgage Advisor
Aniela,30,A&R Record Label
Anna,39,HR Specialist
Aron,36,Sports Consultant
Camilla,33,Partner Manager E-commerce
Christofer,43,Marketing Consultant
Daniel,43,IT Sales
Dannette,28,HR Manager
Ellen,28,Stylist
Fabian,37,Nursing Assistant
Gabriel,33,Actor
Haitham,32,Business Analyst
Hanna,30,Songwriter
Ibrahim,33,Surgeon
Ida,33,Medical Coordinator
Jacqueline,30,Relationship Coach
Jessica,33,"Marketing Manager, Music Company"
Joel,31,Middle School Teacher
Johanna,38,Sales and Event Manager
Lars-Erik,35,Youth Care Practitioner
Leena,38,HR Business Partner
Ludwig,31,Docker
Olof,38,Professional Poker Player
Oscar,29,Carpenter
Per,41,Civil Engineer
Ronja,36,Regional Sales Manager
